Year,Total,total_males,total_females
1967,896065,630701,265364
1968,1037377,696649,340728
1969,1120175,738673,381502
1970,1212243,793940,418303
1971,1204390,789131,415259
1972,1272421,810164,462257
1973,1342452,833453,508999
1974,1425001,856847,568154
1975,1505404,891992,613412
1976,1577546,904551,672995
1977,1569084,891819,677265
1978,1575693,879931,695762
1979,1571922,862754,709168
1980,1621840,874197,747643
1981,1617150,866785,750365
1982,1600718,860890,739828
1983,1618666,865425,753241
1984,1623869,856761,767108
1985,1650381,856370,794011
1986,1705536,867010,838526
1987,1720407,863599,856808
1988,1738789,864252,874537
1989,1796029,879025,917004
1990,1859531,904150,955381
1991,1919666,930841,988825
1992,1949659,941053,1008606
1993,1980844,943768,1037076
1994,2016182,949785,1066397
1995,2030062,941409,1088653
1996,2040572,932153,1108419
1997,2051747,927496,1124251
1998,2070030,923132,1146898
1999,2110246,930930,1179316
2000,2156896,943501,1213395
2001,2212377,956384,1255993
2002,2354634,1009726,1344908
2003,2431117,1032892,1398225
2004,2491414,1047214,1444200
2005,2523511,1047054,1476457
2006,2574568,1061059,1513509
2007,2644357,1088314,1556043
2008,2737076,1122272,1614804
2009,2849415,1169777,1679638
2010,2937011,1209477,1727534
2011,2933287,1211264,1722023
2012,2908840,1204068,1704772
2013,2900373,1201057,1699316
2014,2914582,1211151,1703431
2015,2940492,1221566,1718926
